name	len	score	pvalue
NC_074642.1 |||Methanoculleus virus L4768|dsDNA|Methanoculleus bourgensis|Methanoculleus virus L4768, complete genome|Germany	37078	0.8545680046081543	0.021187400861092227
NC_074644.1 |Dolusvirus|Verdandiviridae|Dolusvirus shimokitaense|dsDNA|Asgard group archaeon|MAG: Asgard archaea virus VerdaV1 DNA, complete genome|Japan	19940	0.8858043551445007	0.018845834277513407
NC_073676.1 |Hollowayvirus||Pseudomonas phage Epa33|dsDNA|Pseudomonas sp.|Pseudomonas phage Epa33, complete genome|	64021	0.4913519620895386	0.06856635697560239
NC_073459.1 |||Gordonia phage Finkle|dsDNA|Gordonia terrae|Gordonia phage Finkle, complete genome|USA	47895	0.7919778823852539	0.02600271923861319
NC_073434.1 |Dismasvirus||Microbacterium Phage DirtyBubble|dsDNA|Microbacterium foliorum|Microbacterium Phage DirtyBubble, complete genome|USA	41692	0.9833396077156067	0.00879975828990105
NC_073439.1 |Dismasvirus||Microbacterium phage IndyLu|dsDNA|Microbacterium foliorum|Microbacterium phage IndyLu, complete genome|USA	41958	0.9730949401855469	0.010197144799456152
NC_073444.1 |Dismasvirus||Microbacterium phage Avocadoman|dsDNA|Microbacterium foliorum|Microbacterium phage Avocadoman, complete genome|USA	41200	0.9978830814361572	0.004702016768638115
NC_073325.1 |Kagunavirus||Escherichia phage vB_EcoS_XY1|dsDNA|Escherichia coli|Escherichia phage vB_EcoS_XY1, complete genome|China	45566	0.986592710018158	0.00823325024548682
NC_073203.1 |Jerseyvirus||Salmonella phage MET_P1_001_43|dsDNA|Salmonella enterica subsp. enterica serovar Enteritidis|Salmonella phage MET_P1_001_43, complete genome|Turkey	43205	0.9665718078613281	0.011424578895686986
NC_073212.1 |Jerseyvirus||Salmonella phage ZCSE9|dsDNA|Salmonella enterica subsp. enterica serovar Typhi|Salmonella phage ZCSE9, complete genome|Egypt	42689	0.9589855074882507	0.012538711383034973
NC_073217.1 |Jerseyvirus||Salmonella phage pink|dsDNA|Salmonella enterica|Salmonella phage pink, complete genome|	43203	0.9170547723770142	0.016485384092454113
NC_073061.1 |Dhillonvirus||Escherichia phage vB_EcoS-101114BS4|dsDNA|Escherichia coli|Escherichia phage vB_EcoS-101114BS4, complete genome|	45251	0.9650547504425049	0.01161341491049173
NC_073067.1 |Dhillonvirus||Escherichia phage PaulFeyerabend|dsDNA|Escherichia coli K-12|Escherichia phage PaulFeyerabend, complete genome|Switzerland	44550	0.9538781642913818	0.013142986630410152
NC_073070.1 |Dhillonvirus||Escherichia phage CEC_Kaz_2018|dsDNA|Escherichia coli|Escherichia phage CEC_Kaz_2018, complete genome|Kazakhstan	44283	0.8579366207122803	0.020960797643326534
NC_073075.1 |Dhillonvirus||Escherichia phage ZCEC10|dsDNA|Escherichia coli O18|Escherichia phage ZCEC10, complete genome|	44776	0.9642999172210693	0.011670065714933153
NC_073080.1 |Dhillonvirus||Escherichia phage EC115|dsDNA|Escherichia coli|Escherichia phage EC115, complete genome|Denmark	44849	0.9757615327835083	0.009838356371327139
NC_071152.1 |||Klebsiella phage VLCpiS13a|dsDNA|Klebsiella pneumoniae|Klebsiella phage VLCpiS13a, complete genome|Spain	47956	0.6730214357376099	0.035312334768487046
NC_071128.1 |Jedunavirus||Klebsiella phage vB_KpnM_15-38_KLPPOU148|dsDNA|Klebsiella pneumoniae|Klebsiella phage vB_KpnM_15-38_KLPPOU148, complete genome|Cote d'Ivoire	49169	0.9954181909561157	0.005986101669310371
NC_071051.1 |Vansinderenvirus|Aliceevansviridae|Vansinderenvirus SW4|dsDNA|Streptococcus thermophilus|Streptococcus phage SW4, complete genome|	34556	0.9921246767044067	0.006911398141853614
NC_071074.1 |Brussowvirus|Aliceevansviridae|Brussowvirus P7571|dsDNA|Streptococcus thermophilus|Streptococcus phage P7571, complete genome|	34907	0.9960988163948059	0.005740614850064205
NC_070654.1 |Moineauvirus|Aliceevansviridae|Moineauvirus mv7A5|dsDNA|Streptococcus thermophilus|Streptococcus phage 7A5, complete genome|Ireland	35936	0.9882791042327881	0.007836694614396858
NC_070673.1 |Moineauvirus|Aliceevansviridae|Moineauvirus CHPC873|dsDNA|Streptococcus thermophilus|Streptococcus phage CHPC873, complete genome|	38258	0.9893938302993774	0.007572324193670217
NC_070677.1 |Moineauvirus|Aliceevansviridae|Moineauvirus Sfi19|dsDNA|Streptococcus thermophilus|Streptococcus phage CHPC919, complete genome|	37281	0.998316764831543	0.004399879144950525
NC_070808.1 |Beenievirus||Beenievirus dolores|dsDNA|Gordonia terrae|Gordonia phage Dolores, complete genome|USA	47336	0.9395246505737305	0.014804743560691894
NC_070814.1 |Beenievirus||Beenievirus easley|dsDNA|Gordonia terrae|Gordonia phage Easley, complete genome|USA	46717	0.9060544967651367	0.01725961175315356
NC_070817.1 |Howevirus||Howevirus howe|dsDNA|Gordonia terrae|Gordonia phage Howe, complete genome|USA	53182	0.7931876182556152	0.025889417629730342
NC_070823.1 |||Pseudoalteromonas phage vB_PspS-H40/1|dsDNA|Pseudoalteromonas sp.|Pseudoalteromonas phage vB_PspS-H40/1, complete genome|Germany	45306	0.8721562027931213	0.01994108316338092
NC_070824.1 |||Pseudoalteromonas phage C7|dsDNA|Pseudoalteromonas atlantica|Pseudoalteromonas phage C7, complete genome|China	42261	0.8211836218833923	0.023604501850592947
NC_070828.1 |Dubuvirus||Dubuvirus dubu|dsDNA|Streptomyces platensis|Streptomyces phage Dubu, complete genome|USA	39535	0.9999998211860657	0.00026437042072664096
NC_070833.1 |Hestiavirus||Hestiavirus hestia|dsDNA|Arthrobacter globiformis|Arthrobacter phage Hestia, complete genome|USA	51476	0.9391460418701172	0.014899161568094267
NC_070837.1 |Fajavirus||Fajavirus faja|dsDNA|Arthrobacter globiformis|Arthrobacter phage Faja, complete genome|USA	52490	0.8427470922470093	0.022018279326233098
NC_070861.1 |Cbunavirus|Schitoviridae|Cbunavirus Kc283|dsDNA|Kosakonia cowanii|Kosakonia phage Kc283, complete genome|Czech Republic	76232	0.9999386072158813	0.0013029685021527305
NC_070865.1 |Litunavirus|Schitoviridae|Litunavirus Pae575p3|dsDNA|Pseudomonas sp.|Pseudomonas phage vB_Pae575P-3, complete genome|	72728	0.9951528906822205	0.006023868872271319
NC_070877.1 |Quivirus||Quivirus qui|dsDNA|Arthrobacter globiformis|Arthrobacter phage Qui, complete genome|USA	113685	0.9520364999771118	0.013388473449656319
NC_070907.1 |Peduovirus|Peduoviridae|Peduovirus P37|dsDNA|Yersinia pestis EV76-CN|Yersinia phage P37, complete genome|China	33007	0.6071805357933044	0.04148727245260216
NC_070937.1 |Nanhuvirus|Straboviridae|Nanhuvirus LPCS28|dsDNA|Cronobacter sakazakii|Cronobacter phage LPCS28, complete genome|China	182723	0.9562963247299194	0.012840849006722561
NC_070946.1 |Mudcatvirus||Mudcatvirus dynamite|dsDNA|Arthrobacter sp. ATCC 21022|Arthrobacter phage Dynamite, complete genome|USA	57846	0.9877671599388123	0.007874461817357806
NC_070981.1 |Suseptimavirus||Suseptimavirus EK010|dsDNA|Escherichia coli|Escherichia phage EK010 DNA, complete sequence|China	78078	0.9999249577522278	0.0014540373139965254
NC_070991.1 |Kuravirus||Kuravirus WFI101126|dsDNA|Escherichia coli|Escherichia phage vB_EcoP_WFI101126, complete genome|Germany	77307	0.9989189505577087	0.0037389530931339226
NC_070993.1 |Kuravirus||Kuravirus IMEP8|dsDNA|Escherichia coli|Escherichia phage vB_EcoP_IMEP8, complete genome|China	75809	0.999971330165863	0.0010008308784651408
NC_071006.1 |Chidieberevirus||Chidieberevirus chisanakitsune|dsDNA|Gordonia rubripertincta|Gordonia phage ChisanaKitsune, complete genome|USA	88657	0.9999740123748779	0.0008875292695822947
NC_071009.1 |Teetrevirus|Autographiviridae|Teetrevirus RPN15|dsDNA|Salmonella enterica|Salmonella phage vB_SAg-RPN15, complete genome|Thailand	38505	1.0	0.0
NC_071030.1 |Yangvirus||Yangvirus kaylissa|dsDNA|Arthrobacter globiformis|Arthrobacter phage Kaylissa, complete genome|USA	44124	0.9920560121536255	0.006911398141853614
NC_069147.1 |||Salmonella phage GRNsp27|dsDNA|Salmonella enterica|Salmonella phage GRNsp27, complete genome|	41187	0.965051531791687	0.01161341491049173
NC_062744.1 |Callevirus|Pervagoviridae|Callevirus Calle|dsDNA|Cellulophaga sp. HaHa_2_95|Cellulophaga phage Calle_1, complete genome|	72979	0.9972405433654785	0.005098572399728076
NC_062762.1 |Dpdavirus|Haloferuviridae|Dpdavirus HRTV29|dsDNA|Halorubrum sp.|Halorubrum virus HRTV-29, complete genome|Thailand	36603	0.9894411563873291	0.007553440592189742
OP913462.1 |Kayvirus|Herelleviridae|Staphylococcus virus vB_SurM-PSU2|dsDNA|Staphylococcus ureilyticus|Staphylococcus virus vB_SurM-PSU2, complete genome|South Korea	142537	1.0	0.0
OL944021.1 |Jerseyvirus||Salmonella phage PhiSEP1|dsDNA|Salmonella enterica|Salmonella phage PhiSEP1, complete genome|South Korea	42730	0.9704038500785828	0.010725885640909434
